Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.106,0.028,1.023,0.24,-0.31,4.19,0.47,-6.04,7.92,43.13,-54.4,-36.86,51.59153264
0.111,0.033,0.994,-0.17,-0.09,4.26,0.46,-6.05,8.33,43.33,-55.35,-36.67,51.94486402
0.119,0.035,0.985,-0.86,0.38,4.13,0.42,-6.05,8.74,43.33,-55.35,-36.67,51.94486402
0.107,0.03,0.963,-0.65,0.08,4.21,0.37,-6.04,9.14,43.33,-55.35,-36.67,51.94486402
0.113,0.026,0.985,-0.52,0.23,3.7,0.28,-6.04,9.52,44.34,-54.4,-34.51,50.81743454
0.114,0.022,1.025,-0.45,0.12,3.72,0.22,-6.05,9.89,43.94,-55.16,-34.51,51.45946262
0.095,0.019,0.976,-0.2,-0.21,3.43,0.17,-6.06,10.24,43.94,-55.16,-34.51,51.45946262
0.108,0.032,0.97,-0.16,-0.3,3.26,0.15,-6.07,10.58,46.36,-52.87,-37.65,48.75351984
0.105,0.019,1.005,-0.1,-0.23,3.27,0.13,-6.08,10.91,44.55,-54.21,-36.27,50.58649442
0.108,0.021,0.953,0.49,-0.24,3.28,0.13,-6.09,11.23,42.93,-54.97,-35.1,52.01118001
0.105,0.015,0.998,0.76,0.07,2.91,0.14,-6.08,11.52,45.15,-55.54,-37.25,50.89138607
0.106,0.025,1.002,-0.01,0.4,2.73,0.15,-6.07,11.79,45.15,-55.54,-37.25,50.89138607
0.109,0.028,1.008,0.38,-0.08,2.85,0.17,-6.06,12.06,45.15,-55.54,-37.25,50.89138607
0.096,0.027,0.996,0.45,-0.15,2.62,0.24,-6.06,12.33,44.34,-57.07,-35.29,52.15491548
0.108,0.024,1.014,-0.12,-0.33,2.58,0.25,-6.09,12.6,45.56,-57.46,-36.47,51.58912188
0.112,0.033,1.011,0.08,-0.32,2.64,0.26,-6.13,12.85,43.33,-55.35,-35.49,51.94486402
0.111,0.022,0.98,-0.25,-0.71,2.22,0.26,-6.19,13.09,43.33,-55.35,-35.49,51.94486402
0.102,0.037,0.973,-0.23,-0.62,1.78,0.22,-6.23,13.33,42.53,-56.5,-36.27,53.02963756
0.106,0.031,0.995,-0.41,-0.03,2.3,0.18,-6.26,13.56,43.13,-55.93,-35.29,52.36265643
0.106,0.013,0.971,-0.33,0.15,2.12,0.16,-6.26,13.77,44.14,-57.27,-35.49,52.37729657
0.112,0.024,1.013,-0.48,0.3,2.32,0.1,-6.23,13.99,44.14,-57.27,-35.49,52.37729657
0.108,0.017,1.004,-0.44,0.74,2.1,0.07,-6.19,14.19,44.14,-57.27,-35.49,52.37729657
0.097,0.028,0.981,-0.24,-0.05,1.87,0.04,-6.15,14.39,44.34,-55.93,-36.47,51.59343942
0.107,0.032,1.003,-0.3,0.86,1.78,0.05,-6.11,14.58,43.33,-58.03,-34.71,53.25193739
0.107,0.024,1.007,0.59,-0.18,1.8,0.08,-6.1,14.76,43.94,-57.07,-36.08,52.40618698
0.101,0.04,0.979,0.49,-0.53,1.74,0.11,-6.1,14.94,43.94,-57.07,-36.08,52.40618698
0.097,0.013,1.007,0.4,-0.13,1.63,0.16,-6.12,15.11,44.34,-56.31,-36.08,51.78215866
0.107,0.03,0.985,0.19,-0.33,1.46,0.18,-6.13,15.28,44.14,-57.65,-34.31,52.56035152
0.098,0.041,0.979,-0.25,-0.18,1.41,0.18,-6.12,15.44,44.14,-56.88,-35.1,52.18783299
0.11,0.016,0.988,0.08,0.52,1.65,0.21,-6.09,15.6,44.14,-56.88,-35.1,52.18783299
0.11,0.02,0.962,0.07,0.56,1.47,0.24,-6.02,15.75,44.14,-56.88,-35.1,52.18783299
0.102,0.025,1.009,0.11,0.81,1.45,0.25,-5.96,15.91,45.35,-58.03,-36.67,51.99264649
0.102,0.008,1.002,0.09,0.31,1.67,0.26,-5.91,16.05,43.74,-58.03,-35.88,52.99291065
0.102,0.014,0.999,0.24,-0.16,1.24,0.29,-5.88,16.17,44.95,-57.27,-36.67,51.87238866
0.092,0.026,1.018,-0.03,-0.29,1.51,0.3,-5.9,16.29,46.16,-58.41,-34.31,51.68154166
0.106,0.037,1.023,0.11,-0.58,0.69,0.32,-5.94,16.4,46.16,-58.41,-34.31,51.68154166
0.111,0.026,1.015,-0.78,-0.98,0.94,0.32,-6.02,16.49,44.34,-57.84,-36.86,52.52631606
0.106,0.029,0.978,-0.21,-0.68,0.98,0.31,-6.1,16.58,44.14,-57.27,-34.31,52.37729657
0.106,0.018,0.957,-0.78,-0.69,0.61,0.29,-6.18,16.66,44.14,-56.5,-33.53,52.00166114
